site_id,.model,date,amam_filled,.mean,mean_vpd,ensemble,iso_year,iso_week,mean_temp,min_temp,max_temp,rh_min,rh_max,mean_precip_mm,sum_precip_mm,dd,thirty_day_dd,dd_30d_rollsum_lag34,dd_30d_rollsum_lag42,dd_30d_rollsum_lag50,dd_30d_rollsum_prev_week,cume_dd_prev_week,jd,amam_4wk_rollmean_lag1,mean_vpd_4wk_rollmean_lag1,amam_4wk_rollmean_lag50,mean_vpd_4wk_rollmean_lag50,amam_lag1,amam_lag2,amam_lag3,amam_lag4,iso_week_num,dd_rollsum_prev_week
BLAN,basic_arima,2021-08-23,"N(0.29, 5.2)",0.2904556232052222,1.5054094611407638,1,2021,2021-W34-1,26.669445364815857,18.83424682617188,39.041400146484385,27.423849105834964,97.17839813232422,0.1928571461566857,1.3500000230968,27.80538809640068,745.8794302804126,694.0647,669.6666071428572,641.4279857142857,738.2999999999996,3110.4021499999994,235,0,0.9990013479456932,0,0.5258313511152258,0,0,0,0,34,173.54999999999993
BLAN,basic_arima,2021-08-30,"N(0.73, 17)",0.7340911657900859,1.0198619668170263,1,2021,2021-W35-1,21.929826518467504,13.300006103515628,34.40001220703126,31.082324981689453,97.74515533447266,0.1500000030866691,1.0500000216066838,23.29611075265068,763.1045750209262,713.0128142857142,690.2430785714286,663.9971571428571,754.4877166748043,3305.039866674804,242,0,1.0766424621265165,0,0.46928318932379537,NA,0,0,0,35,194.63771667480475
BLAN,basic_arima,2021-09-06,"N(1.2, 33)",1.225719431177485,0.9841499613629713,1,2021,2021-W36-1,19.340295301164907,8.129779052734376,34.400042724609385,26.70853996276856,90.77336883544922,0.034428572149149,0.24100000504404304,20.615590558733267,751.6045968191964,712.7547714285712,712.7121785714285,687.1655285714286,761.8604919433593,3468.112641943359,249,0,1.0399237813389488,0,0.39880318716757357,NA,NA,0,0,36,163.07277526855475
BLAN,basic_arima,2021-09-13,"N(1.6, 42)",1.6184677859937664,0.9496473540666643,1,2021,2021-W37-1,19.366087831769676,11.819232177734378,30.958758544921885,30.7563419342041,95.88446807861328,0.008571428912026542,0.0600000023841858,21.363201468331482,707.4370884486609,721.0384571428568,712.6505857142855,712.1483071428571,723.0196258544922,3612.421775854492,256,0,1.0606829395635076,0,0.40366279270318856,NA,NA,NA,0,37,144.30913391113285
BLAN,basic_arima,2021-09-20,"N(1.9, 48)",1.93222368871703,0.6181444027735468,1,2021,2021-W38-1,15.722280556815017,2.599993896484374,31.59999389648439,23.8726863861084,98.84976577758789,0.539285720778363,3.7750000454485413,17.244121151878726,676.8147173200337,733.3113653738835,720.0705428571425,712.8747071428569,700.8120361328128,3761.9641861328123,263,0,1.1147671858468564,0,0.39104964611478854,NA,NA,NA,NA,38,149.54241027832035
BLAN,basic_arima,2021-09-27,"N(2.2, 52)",2.1828746851794834,0.011476922974347645,1,2021,2021-W39-1,8.408496093750001,8.408496093750001,8.408496093750001,98.9636001586914,98.9636001586914,0.0849999984105428,0.0849999984105428,8.408496093750001,613.0883585611981,740.2433563232418,721.2533999999996,710.2858499999998,631.7798563639325,3882.6730341959633,270,0,0.8929509212550522,0,0.39907913547982626,NA,NA,NA,NA,39,120.70884806315107
BLAN,basic_prophet,2021-08-23,sample[5000],9.990239661609248,1.5054094611407638,1,2021,2021-W34-1,26.669445364815857,18.83424682617188,39.041400146484385,27.423849105834964,97.17839813232422,0.1928571461566857,1.3500000230968,27.80538809640068,745.8794302804126,694.0647,669.6666071428572,641.4279857142857,738.2999999999996,3110.4021499999994,235,0,0.9990013479456932,0,0.5258313511152258,0,0,0,0,34,173.54999999999993
BLAN,basic_prophet,2021-08-30,sample[5000],9.911281491941358,1.0198619668170263,1,2021,2021-W35-1,21.929826518467504,13.300006103515628,34.40001220703126,31.082324981689453,97.74515533447266,0.1500000030866691,1.0500000216066838,23.29611075265068,763.1045750209262,713.0128142857142,690.2430785714286,663.9971571428571,754.4877166748043,3305.039866674804,242,0,1.0766424621265165,0,0.46928318932379537,NA,0,0,0,35,194.63771667480475
BLAN,basic_prophet,2021-09-06,sample[5000],8.68054114458724,0.9841499613629713,1,2021,2021-W36-1,19.340295301164907,8.129779052734376,34.400042724609385,26.70853996276856,90.77336883544922,0.034428572149149,0.24100000504404304,20.615590558733267,751.6045968191964,712.7547714285712,712.7121785714285,687.1655285714286,761.8604919433593,3468.112641943359,249,0,1.0399237813389488,0,0.39880318716757357,NA,NA,0,0,36,163.07277526855475
BLAN,basic_prophet,2021-09-13,sample[5000],6.8923107467016145,0.9496473540666643,1,2021,2021-W37-1,19.366087831769676,11.819232177734378,30.958758544921885,30.7563419342041,95.88446807861328,0.008571428912026542,0.0600000023841858,21.363201468331482,707.4370884486609,721.0384571428568,712.6505857142855,712.1483071428571,723.0196258544922,3612.421775854492,256,0,1.0606829395635076,0,0.40366279270318856,NA,NA,NA,0,37,144.30913391113285
BLAN,basic_prophet,2021-09-20,sample[5000],5.792399140825026,0.6181444027735468,1,2021,2021-W38-1,15.722280556815017,2.599993896484374,31.59999389648439,23.8726863861084,98.84976577758789,0.539285720778363,3.7750000454485413,17.244121151878726,676.8147173200337,733.3113653738835,720.0705428571425,712.8747071428569,700.8120361328128,3761.9641861328123,263,0,1.1147671858468564,0,0.39104964611478854,NA,NA,NA,NA,38,149.54241027832035
BLAN,basic_prophet,2021-09-27,sample[5000],5.382645108654494,0.011476922974347645,1,2021,2021-W39-1,8.408496093750001,8.408496093750001,8.408496093750001,98.9636001586914,98.9636001586914,0.0849999984105428,0.0849999984105428,8.408496093750001,613.0883585611981,740.2433563232418,721.2533999999996,710.2858499999998,631.7798563639325,3882.6730341959633,270,0,0.8929509212550522,0,0.39907913547982626,NA,NA,NA,NA,39,120.70884806315107
BLAN,standard_arima,2021-08-23,"N(3, 4.9)",2.9802290862073737,1.5054094611407638,1,2021,2021-W34-1,26.669445364815857,18.83424682617188,39.041400146484385,27.423849105834964,97.17839813232422,0.1928571461566857,1.3500000230968,27.80538809640068,745.8794302804126,694.0647,669.6666071428572,641.4279857142857,738.2999999999996,3110.4021499999994,235,0,0.9990013479456932,0,0.5258313511152258,0,0,0,0,34,173.54999999999993
BLAN,standard_arima,2021-08-30,"N(1.7, 16)",1.7183689324042768,1.0198619668170263,1,2021,2021-W35-1,21.929826518467504,13.300006103515628,34.40001220703126,31.082324981689453,97.74515533447266,0.1500000030866691,1.0500000216066838,23.29611075265068,763.1045750209262,713.0128142857142,690.2430785714286,663.9971571428571,754.4877166748043,3305.039866674804,242,0,1.0766424621265165,0,0.46928318932379537,NA,0,0,0,35,194.63771667480475
